rule_code,category,section,all,any,none,priority,exclusive_group,is_fallback,is_active
TODAY_FALLBACK,TODAY,SUMMARY,,,,0,,Y,Y
TODAY_STEM_BIGEOP,TODAY,SUMMARY,TODAY_STEM_BIGEOP,,,100,TODAY_CORE,N,Y
TODAY_STEM_SIKSANG,TODAY,SUMMARY,TODAY_STEM_SIKSANG,,,100,TODAY_CORE,N,Y
TODAY_STEM_JAESEONG,TODAY,SUMMARY,TODAY_STEM_JAESEONG,,,100,TODAY_CORE,N,Y
TODAY_STEM_GWANSEONG,TODAY,SUMMARY,TODAY_STEM_GWANSEONG,,,100,TODAY_CORE,N,Y
TODAY_STEM_INSEONG,TODAY,SUMMARY,TODAY_STEM_INSEONG,,,100,TODAY_CORE,N,Y
TODAY_BRANCH_BIGEOP,TODAY,DETAIL,TODAY_BRANCH_BIGEOP,,,100,TODAY_BRANCH,N,Y
TODAY_BRANCH_SIKSANG,TODAY,DETAIL,TODAY_BRANCH_SIKSANG,,,100,TODAY_BRANCH,N,Y
TODAY_BRANCH_JAESEONG,TODAY,DETAIL,TODAY_BRANCH_JAESEONG,,,100,TODAY_BRANCH,N,Y
TODAY_BRANCH_GWANSEONG,TODAY,DETAIL,TODAY_BRANCH_GWANSEONG,,,100,TODAY_BRANCH,N,Y
TODAY_BRANCH_INSEONG,TODAY,DETAIL,TODAY_BRANCH_INSEONG,,,100,TODAY_BRANCH,N,Y
TODAY_BRANCH_CLASH,TODAY,DETAIL,TODAY_BRANCH_CLASH,,,300,,N,Y
TODAY_BRANCH_COMBINE,TODAY,DETAIL,TODAY_BRANCH_COMBINE,,,300,,N,Y
TODAY_STEM_COMBINE,TODAY,DETAIL,TODAY_STEM_COMBINE,,,300,,N,Y
TODAY_ADVICE_BIGEOP,TODAY,ADVICE,TODAY_STEM_BIGEOP,,,100,TODAY_ADVICE,N,Y
TODAY_ADVICE_SIKSANG,TODAY,ADVICE,TODAY_STEM_SIKSANG,,,100,TODAY_ADVICE,N,Y
TODAY_ADVICE_JAESEONG,TODAY,ADVICE,TODAY_STEM_JAESEONG,,,100,TODAY_ADVICE,N,Y
TODAY_ADVICE_GWANSEONG,TODAY,ADVICE,TODAY_STEM_GWANSEONG,,,100,TODAY_ADVICE,N,Y
TODAY_ADVICE_INSEONG,TODAY,ADVICE,TODAY_STEM_INSEONG,,,100,TODAY_ADVICE,N,Y
TODAY_CLASH_ADVICE,TODAY,ADVICE,TODAY_BRANCH_CLASH,,,300,TODAY_ADVICE,N,Y
TOTAL_FALLBACK,TOTAL,SUMMARY,,,,0,,Y,Y
TOTAL_VERY_WEAK,TOTAL,SUMMARY,STR_VERY_WEAK,,,100,TOTAL_CORE,N,Y
TOTAL_WEAK,TOTAL,SUMMARY,STR_WEAK,,,100,TOTAL_CORE,N,Y
TOTAL_BALANCED,TOTAL,SUMMARY,STR_BALANCED,,,100,TOTAL_CORE,N,Y
TOTAL_STRONG,TOTAL,SUMMARY,STR_STRONG,,,100,TOTAL_CORE,N,Y
TOTAL_VERY_STRONG,TOTAL,SUMMARY,STR_VERY_STRONG,,,100,TOTAL_CORE,N,Y
TOTAL_GYEOK_JEONGGWAN,TOTAL,DETAIL,GYEOK_JEONGGWAN,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_PYEONGWAN,TOTAL,DETAIL,GYEOK_PYEONGWAN,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_JEONGJAE,TOTAL,DETAIL,GYEOK_JEONGJAE,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_PYEONJAE,TOTAL,DETAIL,GYEOK_PYEONJAE,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_SIKSIN,TOTAL,DETAIL,GYEOK_SIKSIN,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_SANGGWAN,TOTAL,DETAIL,GYEOK_SANGGWAN,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_JEONGIN,TOTAL,DETAIL,GYEOK_JEONGIN,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_PYEONIN,TOTAL,DETAIL,GYEOK_PYEONIN,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_GEONROK,TOTAL,DETAIL,GYEOK_GEONROK,,,120,TOTAL_GYEOK,N,Y
TOTAL_GYEOK_YANGIN,TOTAL,DETAIL,GYEOK_YANGIN,,,120,TOTAL_GYEOK,N,Y
TOTAL_WOOD_OVER40,TOTAL,DETAIL,OH_WOOD_GT_40,,,110,,N,Y
TOTAL_FIRE_OVER40,TOTAL,DETAIL,OH_FIRE_GT_40,,,110,,N,Y
TOTAL_EARTH_OVER40,TOTAL,DETAIL,OH_EARTH_GT_40,,,110,,N,Y
TOTAL_METAL_OVER40,TOTAL,DETAIL,OH_METAL_GT_40,,,110,,N,Y
TOTAL_WATER_OVER40,TOTAL,DETAIL,OH_WATER_GT_40,,,110,,N,Y
TOTAL_WOOD_NONE,TOTAL,DETAIL,OH_WOOD_NONE,,,100,,N,Y
TOTAL_FIRE_NONE,TOTAL,DETAIL,OH_FIRE_NONE,,,100,,N,Y
TOTAL_EARTH_NONE,TOTAL,DETAIL,OH_EARTH_NONE,,,100,,N,Y
TOTAL_METAL_NONE,TOTAL,DETAIL,OH_METAL_NONE,,,100,,N,Y
TOTAL_WATER_NONE,TOTAL,DETAIL,OH_WATER_NONE,,,100,,N,Y
TOTAL_ADVICE_VERY_WEAK,TOTAL,ADVICE,STR_VERY_WEAK,,,100,TOTAL_ADVICE,N,Y
TOTAL_ADVICE_WEAK,TOTAL,ADVICE,STR_WEAK,,,100,TOTAL_ADVICE,N,Y
TOTAL_ADVICE_BALANCED,TOTAL,ADVICE,STR_BALANCED,,,100,TOTAL_ADVICE,N,Y
TOTAL_ADVICE_STRONG,TOTAL,ADVICE,STR_STRONG,,,100,TOTAL_ADVICE,N,Y
TOTAL_ADVICE_VERY_STRONG,TOTAL,ADVICE,STR_VERY_STRONG,,,100,TOTAL_ADVICE,N,Y
PERS_FALLBACK,PERSONALITY,SUMMARY,,,,0,,Y,Y
PERS_DM_GAP,PERSONALITY,SUMMARY,DM_GAP,,,100,PERS_DM,N,Y
PERS_DM_EUL,PERSONALITY,SUMMARY,DM_EUL,,,100,PERS_DM,N,Y
PERS_DM_BYEONG,PERSONALITY,SUMMARY,DM_BYEONG,,,100,PERS_DM,N,Y
PERS_DM_JEONG,PERSONALITY,SUMMARY,DM_JEONG,,,100,PERS_DM,N,Y
PERS_DM_MU,PERSONALITY,SUMMARY,DM_MU,,,100,PERS_DM,N,Y
PERS_DM_GI,PERSONALITY,SUMMARY,DM_GI,,,100,PERS_DM,N,Y
PERS_DM_GYEONG,PERSONALITY,SUMMARY,DM_GYEONG,,,100,PERS_DM,N,Y
PERS_DM_SIN,PERSONALITY,SUMMARY,DM_SIN,,,100,PERS_DM,N,Y
PERS_DM_IM,PERSONALITY,SUMMARY,DM_IM,,,100,PERS_DM,N,Y
PERS_DM_GYE,PERSONALITY,SUMMARY,DM_GYE,,,100,PERS_DM,N,Y
PERS_BIGEOP_MANY,PERSONALITY,DETAIL,SS_BIGEOP_GTE_3,,,130,,N,Y
PERS_SIKSANG_MANY,PERSONALITY,DETAIL,SS_SIKSANG_GTE_3,,,130,,N,Y
PERS_JAESEONG_MANY,PERSONALITY,DETAIL,SS_JAESEONG_GTE_3,,,130,,N,Y
PERS_GWANSEONG_MANY,PERSONALITY,DETAIL,SS_GWANSEONG_GTE_3,,,130,,N,Y
PERS_INSEONG_MANY,PERSONALITY,DETAIL,SS_INSEONG_GTE_3,,,130,,N,Y
PERS_GYEOK_JEONGGWAN,PERSONALITY,DETAIL,GYEOK_JEONGGWAN,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_PYEONGWAN,PERSONALITY,DETAIL,GYEOK_PYEONGWAN,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_JEONGJAE,PERSONALITY,DETAIL,GYEOK_JEONGJAE,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_PYEONJAE,PERSONALITY,DETAIL,GYEOK_PYEONJAE,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_SIKSIN,PERSONALITY,DETAIL,GYEOK_SIKSIN,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_SANGGWAN,PERSONALITY,DETAIL,GYEOK_SANGGWAN,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_JEONGIN,PERSONALITY,DETAIL,GYEOK_JEONGIN,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_PYEONIN,PERSONALITY,DETAIL,GYEOK_PYEONIN,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_GEONROK,PERSONALITY,DETAIL,GYEOK_GEONROK,,,120,PERS_GYEOK,N,Y
PERS_GYEOK_YANGIN,PERSONALITY,DETAIL,GYEOK_YANGIN,,,120,PERS_GYEOK,N,Y
PERS_GAP_WOOD_OVER40,PERSONALITY,DETAIL,DM_GAP OH_WOOD_GT_40,,,500,PERS_WOOD_EXCESS,N,Y
PERS_WOOD_OVER40,PERSONALITY,DETAIL,OH_WOOD_GT_40,,,110,PERS_WOOD_EXCESS,N,Y
PERS_FIRE_OVER40,PERSONALITY,DETAIL,OH_FIRE_GT_40,,,110,PERS_FIRE_EXCESS,N,Y
PERS_EARTH_OVER40,PERSONALITY,DETAIL,OH_EARTH_GT_40,,,110,PERS_EARTH_EXCESS,N,Y
PERS_METAL_OVER40,PERSONALITY,DETAIL,OH_METAL_GT_40,,,110,PERS_METAL_EXCESS,N,Y
PERS_WATER_OVER40,PERSONALITY,DETAIL,OH_WATER_GT_40,,,110,PERS_WATER_EXCESS,N,Y
PERS_WOOD_OVER30,PERSONALITY,DETAIL,OH_WOOD_GT_30,,,100,PERS_WOOD_EXCESS,N,Y
PERS_FIRE_OVER30,PERSONALITY,DETAIL,OH_FIRE_GT_30,,,100,PERS_FIRE_EXCESS,N,Y
PERS_EARTH_OVER30,PERSONALITY,DETAIL,OH_EARTH_GT_30,,,100,PERS_EARTH_EXCESS,N,Y
PERS_METAL_OVER30,PERSONALITY,DETAIL,OH_METAL_GT_30,,,100,PERS_METAL_EXCESS,N,Y
PERS_WATER_OVER30,PERSONALITY,DETAIL,OH_WATER_GT_30,,,100,PERS_WATER_EXCESS,N,Y
PERS_WOOD_NONE,PERSONALITY,DETAIL,OH_WOOD_NONE,,,100,,N,Y
PERS_FIRE_NONE,PERSONALITY,DETAIL,OH_FIRE_NONE,,,100,,N,Y
PERS_EARTH_NONE,PERSONALITY,DETAIL,OH_EARTH_NONE,,,100,,N,Y
PERS_METAL_NONE,PERSONALITY,DETAIL,OH_METAL_NONE,,,100,,N,Y
PERS_WATER_NONE,PERSONALITY,DETAIL,OH_WATER_NONE,,,100,,N,Y
PERS_ADVICE_VERY_WEAK,PERSONALITY,ADVICE,STR_VERY_WEAK,,,100,PERS_ADVICE,N,Y
PERS_ADVICE_WEAK,PERSONALITY,ADVICE,STR_WEAK,,,100,PERS_ADVICE,N,Y
PERS_ADVICE_BALANCED,PERSONALITY,ADVICE,STR_BALANCED,,,100,PERS_ADVICE,N,Y
PERS_ADVICE_STRONG,PERSONALITY,ADVICE,STR_STRONG,,,100,PERS_ADVICE,N,Y
PERS_ADVICE_VERY_STRONG,PERSONALITY,ADVICE,STR_VERY_STRONG,,,100,PERS_ADVICE,N,Y
WEALTH_FALLBACK,WEALTH,SUMMARY,,,,0,,Y,Y
WEALTH_JAE0,WEALTH,SUMMARY,SS_JAESEONG_EQ_0,,,100,WEALTH_CORE,N,Y
WEALTH_JAE0_WEAK,WEALTH,SUMMARY,SS_JAESEONG_EQ_0 STR_WEAK_ANY,,,500,WEALTH_CORE,N,Y
WEALTH_JAE0_BALANCED,WEALTH,SUMMARY,SS_JAESEONG_EQ_0 STR_BALANCED,,,500,WEALTH_CORE,N,Y
WEALTH_JAE0_STRONG,WEALTH,SUMMARY,SS_JAESEONG_EQ_0 STR_STRONG_ANY,,,500,WEALTH_CORE,N,Y
WEALTH_JAE12_WEAK,WEALTH,SUMMARY,SS_JAESEONG_GTE_1 STR_WEAK_ANY,,SS_JAESEONG_GTE_3,500,WEALTH_CORE,N,Y
WEALTH_JAE12_BALANCED,WEALTH,SUMMARY,SS_JAESEONG_GTE_1 STR_BALANCED,,SS_JAESEONG_GTE_3,500,WEALTH_CORE,N,Y
WEALTH_JAE12_STRONG,WEALTH,SUMMARY,SS_JAESEONG_GTE_1 STR_STRONG_ANY,,SS_JAESEONG_GTE_3,500,WEALTH_CORE,N,Y
WEALTH_JAEDA_SINYAK,WEALTH,SUMMARY,SS_JAESEONG_GTE_3 STR_WEAK_ANY,,,500,WEALTH_CORE,N,Y
WEALTH_JAE3_BALANCED,WEALTH,SUMMARY,SS_JAESEONG_GTE_3 STR_BALANCED,,,500,WEALTH_CORE,N,Y
WEALTH_JAE3_STRONG,WEALTH,SUMMARY,SS_JAESEONG_GTE_3 STR_STRONG_ANY,,,500,WEALTH_CORE,N,Y
WEALTH_GUNGEOP,WEALTH,DETAIL,SS_BIGEOP_GTE_3 SS_JAESEONG_GTE_1,,,400,,N,Y
WEALTH_SIKSANG_SAENGJAE,WEALTH,DETAIL,SS_SIKSANG_GTE_1 SS_JAESEONG_GTE_1,,STR_VERY_WEAK,300,,N,Y
WEALTH_JAE0_SIKSANG,WEALTH,DETAIL,SS_JAESEONG_EQ_0 SS_SIKSANG_GTE_1,,,250,,N,Y
WEALTH_JEONGJAE,WEALTH,DETAIL,SS_JEONGJAE_GTE_1,,,200,,N,Y
WEALTH_PYEONJAE,WEALTH,DETAIL,SS_PYEONJAE_GTE_1,,,200,,N,Y
WEALTH_SIKSANG_NONE,WEALTH,DETAIL,SS_SIKSANG_EQ_0,,,150,,N,Y
