category,section,display_order,max_items,title_ko
TOTAL,SUMMARY,1,1,한눈에 보기
TOTAL,DETAIL,2,3,세부 풀이
TOTAL,ADVICE,3,1,조언
PERSONALITY,SUMMARY,1,1,타고난 성향
PERSONALITY,DETAIL,2,3,세부 풀이
PERSONALITY,ADVICE,3,1,조언
WEALTH,SUMMARY,1,1,재물의 흐름
WEALTH,DETAIL,2,2,세부 풀이
WEALTH,ADVICE,3,1,조언
CAREER,SUMMARY,1,1,일하는 방식
CAREER,DETAIL,2,2,세부 풀이
CAREER,ADVICE,3,1,조언
LOVE,SUMMARY,1,1,인연의 모습
LOVE,DETAIL,2,2,세부 풀이
LOVE,ADVICE,3,1,조언
DAEWOON,SUMMARY,1,1,지금의 대운
DAEWOON,DETAIL,2,3,세부 풀이
DAEWOON,ADVICE,3,1,조언
TODAY,SUMMARY,1,1,오늘의 흐름
TODAY,DETAIL,2,2,세부 풀이
TODAY,ADVICE,3,1,오늘의 조언
MATCH_TOTAL,SUMMARY,1,1,한눈에 보기
MATCH_TOTAL,DETAIL,2,3,궁합의 근거
MATCH_TOTAL,ADVICE,3,1,조언
MATCH_PERSONALITY,SUMMARY,1,1,서로에게 어떤 사람인가
MATCH_PERSONALITY,DETAIL,2,2,세부 풀이
MATCH_PERSONALITY,ADVICE,3,1,조언
MATCH_LOVE,SUMMARY,1,1,인연의 모양
MATCH_LOVE,DETAIL,2,2,세부 풀이
MATCH_LOVE,ADVICE,3,1,조언
MATCH_BOND,SUMMARY,1,1,함께 지내는 모습
MATCH_BOND,DETAIL,2,2,세부 풀이
MATCH_BOND,ADVICE,3,1,조언
MATCH_CONFLICT,SUMMARY,1,1,부딪히기 쉬운 지점
MATCH_CONFLICT,DETAIL,2,2,세부 풀이
MATCH_CONFLICT,ADVICE,3,1,풀어 가는 법
